product,store,price,category,price_numeric
"Caseamo Kozí sýr 50+ mladý, výkroj",kosik,529.90,Mléčné,529.9
Král Sýrů Hermelín Zelený pepř 2 x 120g,kosik,291.25,Mléčné,291.25
Leerdammer Original Finesse Plátky,kosik,411.25,Sýry,411.25
Philadelphia Original smetanový sýr,kosik,319.20,Mléčné,319.2
Galbani Bocconcini,kosik,224.50,Mléčné,224.5
Casino Čerstvý sýr,kosik,299.50,Mléčné,299.5
"Dublin Dairy Cheddar Red, strouhaný",kosik,399.33,Mléčné,399.33
Smetanito Střívko s ementálem tavený sýr,kosik,249.00,Mléčné,249.0
Liptov Hravé Pareničky,kosik,499.00,Mléčné,499.0
Krajánek sýr na pánev i na gril 2x 50 g natur,kosik,369.00,Mléčné,369.0
Formagia Mascarpone ,kosik,211.60,Sýry,211.6
Casino Kostky ementálského sýra,kosik,499.33,Sýry,499.33
Président Saint Morgon,kosik,549.50,Sýry,549.5
Meggle Cottage Cheese chilli,kosik,221.67,Sýry,221.67
Džiugas Tvrdý sýr zrající 18 měsíců,kosik,666.11,Sýry,666.11
Kapitán 48%,kosik,468.13,Sýry,468.13
Leerdammer Original,kosik,329.00,Mléčné,329.0
Authentic Farmářská Gouda sweet extra mature,kosik,469.90,Sýry,469.9
Philadelphia Light 12%,kosik,319.20,Sýry,319.2
Casino BIO BIO Strouhaný ementál 28%,kosik,349.00,Sýry,349.0
Smetanito Střívko krémové tavený sýr,kosik,249.00,Sýry,249.0
Galbani Mozzarella Light,kosik,239.20,Sýry,239.2
Krajánek sýr na pánev i na gril 2x 50 g s bylinkami a sušenými rajčaty,kosik,369.00,Sýry,369.0
Président Brie,kosik,343.20,Sýry,343.2
Liptov Hravé Korbáčiky,kosik,572.73,Mléčné,572.73
Liptov Bryndza bez laktózy,kosik,390.00,Sýry,390.0
Italat Ricotta syrovátkový sýr,kosik,192.00,Sýry,192.0
"Monoprix Přírodní Feta sýr, kostky",kosik,768.46,Sýry,768.46
Saský tvarůžek ,kosik,479.20,Sýry,479.2
Meggle Cottage cheese čerstvý sýr pažitkový,kosik,221.67,Sýry,221.67
"Cortelazzi Sýr Parmigiano Reggiano extra vyzrálý 30 měsíců, balený",kosik,1 066.00,Sýry,
Herold 48%,kosik,468.13,Sýry,468.13
Casino Ementál,kosik,399.60,Sýry,399.6
